T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
200.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
181.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
200.0,1.0,Baseline,random,Sides,300,False,0.5,1
200.0,1.0,Baseline,random,Sides,300,False,0.5,1
190.0,1.0,Baseline,random,Sides,300,False,0.5,1
200.0,1.0,Baseline,random,Sides,300,False,0.5,1
190.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
161.0,1.0,Baseline,random,Sides,300,False,0.5,1
151.0,1.0,Baseline,random,Sides,300,False,0.5,1
181.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
161.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
190.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
190.0,1.0,Baseline,random,Sides,300,False,0.5,1
181.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
161.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
186.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
151.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
181.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
151.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
190.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
151.0,1.0,Baseline,random,Sides,300,False,0.5,1
200.0,1.0,Baseline,random,Sides,300,False,0.5,1
161.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
190.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
200.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
181.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
190.0,1.0,Baseline,random,Sides,300,False,0.5,1
181.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
200.0,1.0,Baseline,random,Sides,300,False,0.5,1
161.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
181.0,1.0,Baseline,random,Sides,300,False,0.5,1
161.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
151.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
161.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
181.0,1.0,Baseline,random,Sides,300,False,0.5,1
190.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
161.0,1.0,Baseline,random,Sides,300,False,0.5,1
151.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
161.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
134.0,1.0,Baseline,random,Sides,300,False,0.5,1
200.0,1.0,Baseline,random,Sides,300,False,0.5,1
190.0,1.0,Baseline,random,Sides,300,False,0.5,1
151.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
161.0,1.0,Baseline,random,Sides,300,False,0.5,1
161.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
190.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
181.0,1.0,Baseline,random,Sides,300,False,0.5,1
161.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
190.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
194.0,1.0,Baseline,random,Sides,300,False,0.5,1
151.0,1.0,Baseline,random,Sides,300,False,0.5,1
151.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
161.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
190.0,1.0,Baseline,random,Sides,300,False,0.5,1
181.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
161.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
200.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
151.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
144.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
161.0,1.0,Baseline,random,Sides,300,False,0.5,1
161.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
151.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
151.0,1.0,Baseline,random,Sides,300,False,0.5,1
187.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
190.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
151.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
161.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
181.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
181.0,1.0,Baseline,random,Sides,300,False,0.5,1
190.0,1.0,Baseline,random,Sides,300,False,0.5,1
114.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
171.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
200.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
101.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
181.0,1.0,Baseline,random,Sides,300,False,0.5,1
151.0,1.0,Baseline,random,Sides,300,False,0.5,1
151.0,1.0,Baseline,random,Sides,300,False,0.5,1
121.0,1.0,Baseline,random,Sides,300,False,0.5,1
181.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
190.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
190.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
151.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
151.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
111.0,1.0,Baseline,random,Sides,300,False,0.5,1
131.0,1.0,Baseline,random,Sides,300,False,0.5,1
141.0,1.0,Baseline,random,Sides,300,False,0.5,1
