T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
229.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
229.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
229.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
229.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
229.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
229.0,1.0,Baseline,random,Sides,200,False,0.8,1
229.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
229.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
229.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
229.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
229.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
229.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
229.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
229.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
229.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
229.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
200.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
229.0,1.0,Baseline,random,Sides,200,False,0.8,1
229.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
229.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
143.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
172.0,1.0,Baseline,random,Sides,200,False,0.8,1
115.0,1.0,Baseline,random,Sides,200,False,0.8,1
